id,manufacturer,model,kv,max_current_a,voltage_max_v,voltage_min_v,max_power_w,mass_g,price_usd,url,Ref.,Kv_SI,Pole (number),Io (A),R_ohm,No s,Voltage,Kt_Nm_A,Tnom_Nm,Rend nom,Icc,I opt,Eta opt,Cf_Nm,Tmax_Nm,power_margin,current_margin,mass_score,price_score,margin_score,score,v_nom_used,thrust_per_motor_gf,hover_power_w_est,peak_power_w_est,peak_current_a_est
mtr_166,maxon EC ,"EC 22 ?22 mm, brushless, 100 Watt",672,60.2,48.0,7.4,2889.6000000000004,128.0,50.0,,,,,,,,,,,,,,,,,3.792600011075721,1.754077505122521,0.034912718204488775,0.0,2.773338758099121,-0.8180365401479408,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_090,SCORPION,?Scorpion SII-5525-170KV,170,70.0,44.4,7.4,3108.0,708.0,50.0,,,,,,,,,,,,,,,,,4.079250011912839,2.03962500595642,0.27597672485453034,0.0,3.0594375089346295,-0.8074405627385767,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_10,SCORPION,?Scorpion SII-5525-170KV,170,70.0,44.4,7.4,3108.0,708.0,50.0,,90.0,17.80235837,14.0,0.78,0.042,12.0,44.4,0.056172333,3.888,92.33787645,1057.142857,28.71535179,94.64114966,0.04381442,3.9320633,4.079250011912839,2.03962500595642,0.27597672485453034,0.0,3.0594375089346295,-0.8074405627385767,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_165,maxon EC ,"EC 22 ?22 mm, brushless, 100 Watt",1230,89.1,24.0,7.4,2138.4,128.0,50.0,,,,,,,,,,,,,,,,,2.806650008196401,2.596151257581671,0.034912718204488775,0.0,2.701400632889036,-0.7964551025849153,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_086,SCORPION,?Scorpion SII-4035-330KV,330,65.0,44.4,7.4,2886.0,435.0,50.0,,,,,,,,,,,,,,,,,3.7878750110619217,1.893937505530961,0.1625103906899418,0.0,2.8409062582964415,-0.7872677212129557,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_046,AXI,AXI 5325/24 GOLD LINE,232,75.0,37.0,7.4,2775.0,575.0,50.0,,,,,,,,,,,,,,,,,3.642187510636463,2.1853125063818784,0.22069825436408977,0.0,2.9137500085091705,-0.7858457008071152,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_085,SCORPION,?Scorpion SII-4035-250KV,250,65.0,44.4,7.4,2886.0,450.0,50.0,,,,,,,,,,,,,,,,,3.7878750110619217,1.893937505530961,0.16874480465502908,0.0,2.8409062582964415,-0.7847739556269208,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_184,maxon EC ,"EC 40 ?40 mm, brushless, 170 Watt",241,69.1,42.0,7.4,2902.2,580.0,50.0,,,,,,,,,,,,,,,,,3.8091375111240153,2.013401255879837,0.2227763923524522,0.0,2.911269383501926,-0.7842702581095969,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_068,SCORPION,?Scorpion SII-3020-1110KV (V2),1110,60.0,44.4,7.4,2664.0,166.0,50.0,,,,,,,,,,,,,,,,,3.4965000102110046,1.7482500051055025,0.05070656691604322,0.0,2.6223750076582535,-0.7664298755310588,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_069,SCORPION,?Scorpion SII-3026-710KV (V2),710,60.0,44.4,7.4,2664.0,205.0,50.0,,,,,,,,,,,,,,,,,3.4965000102110046,1.7482500051055025,0.06691604322527016,0.0,2.6223750076582535,-0.7599460850073679,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_072,SCORPION,?Scorpion SII-3032-690KV (V2),690,60.0,44.4,7.4,2664.0,275.0,50.0,,,,,,,,,,,,,,,,,3.4965000102110046,1.7482500051055025,0.09600997506234414,0.0,2.6223750076582535,-0.7483085122725384,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_185,maxon EC ,"EC 40 ?40 mm, brushless, 170 Watt",206,59.6,48.0,7.4,2860.8,580.0,50.0,,,,,,,,,,,,,,,,,3.7548000109653312,1.736595005071466,0.2227763923524522,0.0,2.7456975080183987,-0.7345986954645387,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_043,AXI,AXI 5325/18 GOLD LINE,308,80.0,29.6,7.4,2368.0,575.0,50.0,,,,,,,,,,,,,,,,,3.1080000090764486,2.331000006807337,0.22069825436408977,0.0,2.7195000079418925,-0.7275707006369319,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_045,AXI,AXI 5325/20 GOLD LINE,280,78.0,29.6,7.4,2308.8,575.0,50.0,,,,,,,,,,,,,,,,,3.0303000088495375,2.2727250066371534,0.22069825436408977,0.0,2.6515125077433455,-0.7071744505773677,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_037,AXI,AXI 5320/28 GOLD LINE,249,65.0,37.0,7.4,2405.0,495.0,50.0,,,,,,,,,,,,,,,,,3.156562509218268,1.893937505530961,0.18744804655029093,0.0,2.5252500073746145,-0.6825957835922679,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_040,AXI,AXI 5330/24 GOLD LINE,197,65.0,37.0,7.4,2405.0,652.0,50.0,,,,,,,,,,,,,,,,,3.156562509218268,1.893937505530961,0.25270157938487114,0.0,2.5252500073746145,-0.6564943704584358,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_078,SCORPION,?Scorpion SII-3014-1220KV (V2),1220,46.0,44.4,7.4,2042.4,129.0,50.0,,,,,,,,,,,,,,,,,2.680650007828437,1.3403250039142187,0.035328345802161265,0.0,2.010487505871328,-0.5890149134405338,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_067,SCORPION,?Scorpion SII-3020-890KV (V2),890,45.0,44.4,7.4,1998.0,166.0,50.0,,,,,,,,,,,,,,,,,2.6223750076582535,1.311187503829127,0.05070656691604322,0.0,1.9667812557436903,-0.5697517499566898,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_035,AXI,AXI 4130/16 GOLD LINE,385,60.0,29.6,7.4,1776.0,409.0,50.0,,,,,,,,,,,,,,,,,2.3310000068073364,1.7482500051055025,0.1517040731504572,0.0,2.0396250059564194,-0.5512058725267429,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_190,maxon EC ,"EC 45 ?45 mm, brushless, 150 Watt",445,74.8,24.0,7.4,1795.1999999999998,850.0,50.0,,,,,,,,,,,,,,,,,2.356200006880929,2.17948500636486,0.3349958437240233,0.0,2.2678425066228947,-0.5463544144972591,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_039,AXI,AXI 5320/24 GOLD LINE,206,50.0,37.0,7.4,1850.0,495.0,50.0,,,,,,,,,,,,,,,,,2.4281250070909755,1.4568750042545855,0.18744804655029093,0.0,1.9425000056727804,-0.5077707830817177,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_036,AXI,AXI 4130/20 GOLD LINE,305,55.0,29.6,7.4,1628.0,409.0,50.0,,,,,,,,,,,,,,,,,2.1367500062400584,1.602562504680044,0.1517040731504572,0.0,1.8696562554600513,-0.5002152473778325,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_199,maxon EC ,"EC 45 ?45 mm, brushless, 250 Watt",168,58.3,36.0,7.4,2098.8,1150.0,50.0,,,,,,,,,,,,,,,,,2.754675008044616,1.6987162549608466,0.4596841230257689,0.0,2.2266956315027313,-0.4841350402405118,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_201,maxon EC ,"EC 45 ?45 mm, brushless, 250 Watt",129,47.7,48.0,7.4,2289.6000000000004,1150.0,50.0,,,,,,,,,,,,,,,,,3.005100008775945,1.3898587540588747,0.4596841230257689,0.0,2.19747938141741,-0.4753701652149154,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_033,AXI,AXI 4120/18 GOLD LINE,515,55.0,25.9,7.4,1424.5,320.0,50.0,,,,,,,,,,,,,,,,,1.869656255460051,1.602562504680044,0.11471321695760599,0.0,1.7361093800700476,-0.47494752723797184,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_148,maxon EC ,"EC 13 ?13 mm, brushless, 50 Watt",3070,46.8,24.0,7.4,1123.1999999999998,44.0,50.0,,,,,,,,,,,,,,,,,1.4742000043051802,1.363635003982292,0.0,0.0,1.418917504143736,-0.42567525124312083,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_157,maxon EC ,"EC 16 ?16 mm, brushless, 60 Watt",1820,42.2,24.0,7.4,1012.8,58.0,50.0,,,,,,,,,,,,,,,,,1.3293000038820215,1.2296025035908702,0.005818786367414797,0.0,1.279451253736446,-0.3815078615739679,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_192,maxon EC ,"EC 45 ?45 mm, brushless, 150 Watt",263,43.1,36.0,7.4,1551.6,850.0,50.0,,,,,,,,,,,,,,,,,2.0364750059472203,1.2558262536674527,0.3349958437240233,0.0,1.6461506298073365,-0.3598468514525916,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_197,maxon EC ,"EC 45 ?45 mm, brushless, 250 Watt",210,55.8,24.0,7.4,1339.1999999999998,1150.0,50.0,,,,,,,,,,,,,,,,,1.7577000051330993,1.6258725047481173,0.4596841230257689,0.0,1.6917862549406082,-0.3236622272718749,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
mtr_203,maxon EC ,"EC 60 ?60 mm, brushless, 400 Watt",65,46.4,48.0,7.4,2227.2,2450.0,50.0,,,,,,,,,,,,,,,,,2.9232000085367678,1.3519800039482552,1.0,0.0,2.1375900062425117,-0.24127700187275347,22.200000000000003,3333.3333235988325,476.1904747998332,761.9047596797332,34.320034219807795
