model,Product Description,Product Code (SKU),Categories,Price ($),Status,Hub Diameter,Hub Thickness,Shaft Diameter,Weight,diameter_in,pitch_in,Diameter (METERS),Pitch (-),Color,UPC Code,Product Weight (NOT for Shipping Calculations) (LBS) ,mass_g,manufacturer,price_usd,url,id,Weight (KG),Ct_static,Cp_static,BETA,J,V,Pe,ct,cp,PWR_Hp,Torque_In-Lbf,Thrust_Lbf,Ct*,Cp*,Dominated,J_adv-ratio,V_mph,Efficiency,diam_diff,mass_score,score
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1605,,,,0.366666667,,,,0.0569,0.0285,0.111,1.756,1.469,0.056644744,0.028932459,,0.32,18.0,0.6331,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1540,,,,0.366666667,,,,0.0725,0.0336,0.016,0.517,0.468,0.073057769,0.032710445,,0.21,6.1,0.4605,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1539,,,,0.366666667,,,,0.0754,0.0338,0.017,0.521,0.486,0.075648292,0.033076252,,0.19,5.5,0.4274,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1538,,,,0.366666667,,,,0.0781,0.0341,0.017,0.525,0.504,0.078115163,0.033343259,,0.17,4.8,0.3912,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1537,,,,0.366666667,,,,0.0807,0.0342,0.017,0.527,0.521,0.080457373,0.033511465,,0.15,4.2,0.352,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1536,,,,0.366666667,,,,0.0832,0.0343,0.017,0.529,0.536,0.082673911,0.033580872,,0.13,3.6,0.31,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1535,,,,0.366666667,,,,0.0855,0.0344,0.017,0.529,0.551,0.084763767,0.033551479,,0.11,3.0,0.2652,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1534,,,,0.366666667,,,,0.0877,0.0344,0.017,0.53,0.566,0.086725931,0.033423285,,0.09,2.4,0.2175,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1533,,,,0.366666667,,,,0.0898,0.0343,0.017,0.529,0.579,0.089427547,0.033045745,,0.06,1.8,0.1672,0.5662432913351694,0.12386457473162676,0.31361513478082603
APC MR,,,,,,,,,,15.0,5.500000005,,,,,,15.0,APC MR,10.0,,prop_1532,,,,0.366666667,,,,0.0917,0.0343,0.017,0.528,0.591,0.091066065,0.032670552,,0.04,1.2,0.1141,0.5662432913351694,0.12386457473162676,0.31361513478082603
